,编号,主办单位,标题,公告日期,内容
10,11,东方律师,“知识产权领域刑民交叉法律问题”研讨会通知,2020-12-18,"
“知识产权领域刑民交叉法律问题”研讨会通知
日期：2020-12-18    阅读：1,584次
 近年来，新类型知识产权犯罪案件不断涌现，案件数量也呈现上升趋势。知识产权领域刑事案件的法律适用问题、刑民交叉案件的处置规则问题争议较多。在该背景下，最高法、最高检于2020年9月14日正式发布《办理侵犯知识产权刑事案件具体应用法律若干问题的解释（三）》（简称“《解释》”）正式施行，《解释》明确了假冒注册商标罪中的“相同商标”，侵犯商业秘密罪中的“重大损失”、“不正当手段”的认定标准等。《解释》的部分规定对律师办理知识产权案件工作影响广泛。 
 为进一步明晰相关实务疑难问题，为司法实务提供理论支持，上海律协刑法与刑事辩护业务研究委员会、知识产权业务研究委员会联合举办“知识产权领域刑民交叉法律问题”研讨会，本次研讨会邀请相关监管部门、司法机关、知名法学院的专家学者，以及刑法与刑事辩护业务研究委员会、知识产权业务研究委员会委员，就知识产权领域中的刑民交叉法律问题进行深入研讨。 
 具体安排如下： 
 一、 时间：2020年12月21日下午13:30 
 二、 方式：腾讯会议线上会议 
 三、 报名人数：300人（上海律协个人会员、特邀会员及预备会员） 
 四、 研讨会议程： 
 专题一：知识产权案件所涉刑事犯罪的司法适用 
 主 持 人：马 朗  上海律协刑法与刑事辩护业务研究委员会主任，北京大成（上海）律师事务所合伙人 
 发言人一：吴允锋  华东政法大学刑事法学院教授，文伯书院副院长 
 主题：假冒注册商标罪中“同一种商品”的认定 
 发言人二：陈友乐  上海律协刑法与刑事辩护业务研究委员会委员，上海市光大律师事务所合伙人 
 主题：侵犯商业秘密罪中“商业秘密”、“重大损失”的认定标准 
 发言人三：胡 婧  上海律协刑法与刑事辩护业务研究委员会委员，上海博和汉商律师事务所合伙人 
 主题：假冒注册商标罪中“相同商标”的认定标准 
 专题二：知识产权领域刑民交叉实务问题研究 
 主 持 人：傅 钢  上海律协知识产权业务研究委员会副主任，上海市协力律师事务所合伙人 
 发言人一：房长缨  上海市宝山区人民检察院副检察长 
 主题：知识产权刑民交融问题研究 
 发言人二：张本勇  上海知识产权法院知产综合审判二庭副庭长 
 主题：侵犯商业秘密罪犯罪金额的认定——与商业秘密民事侵权行为相结合 
 发言人三：马远超  上海律协知识产权业务研究委员会委员，北京市中伦（上海）律师事务所合伙人 
 主题：商业秘密刑事犯罪中的司法鉴定问题 
 五、 参会方式：腾讯会议 
 点击链接入会，或添加至会议列表： 
 https://meeting.tencent.com/s/q6Zo8EOkhpms 
 会议 ID：225 919 636 
 联系人：欧阳晓滨，上海律协刑法与刑事辩护业务研究委员会秘书，电话：13918897435。 
           丁倩，上海律协知识产权业务研究委员会秘书，电话：18121317743。 
   
   
  


分享到：
QQ空间
新浪微博
微信




"
11,12,东方律师,医药健康法律实务周末讲坛–“有关跨境医药研发及技术许可交易（Licens...,2020-12-16,"
医药健康法律实务周末讲坛–“有关跨境医药研发及技术许可交易（License-in/License-out）的法律及税务问题探讨”讲座通知
日期：2020-12-16    阅读：1,672次
 为配合《中华人民共和国民法典》《中华人民共和国基本医疗卫生与健康促进法》等医药健康领域新法的宣讲，上海律协医药健康业务研究委员会将逐步推出系列课程，围绕医药健康领域的热点、难点法律问题，由医药健康领域资深专家开展线上讲座，进行重点解读分析。 
 本次讲坛，上海律协医药健康业务研究委员会将以“有关跨境医药研发及技术许可交易（License-in/License-out）的法律及税务问题探讨”为主题，由上海律协医药健康业务研究委员会委员、上海勤理律师事务所尹刚律师担任主讲人。具体安排如下： 
 一、时间：2020年12月21日（星期一）19:30 
 二、方式：腾讯会议线上会议 
 三、报名人数：200人（上海律协个人会员、特邀会员及预备会员） 
 四、内容及主讲人介绍： 
 主题：有关跨境医药研发及技术许可交易（License-in/License-out）的法律及税务问题探讨 
 主讲人：尹刚，上海律协医药健康业务研究委员会委员、上海勤理律师事务所律师，华东政法大学法学硕士。尹刚律师拥有超过12年的执业经验，执业领域涵盖医药、生命健康、汽车、制造、物流、工程及国际贸易等，尤其在医药健康领域经验丰富，其多次协助世界500强医药公司完成其在中国境内的并购交易及合规管理项目。 
 五、报名方式： 
 扫描下方二维码成功入群即为报名成功。 
 讲座正式开始前，微信群会发布参加讲座的腾讯会议小程序会议号，按照腾讯会议小程序的操作流程即可参与讲座。 
 联系人：赵丹蕾，上海律协医药健康业务研究委员会秘书。微信号：zld886jing。 
   
  


分享到：
QQ空间
新浪微博
微信




"
12,13,东方律师,“民法典实施对融资租赁业务的影响”讲座通知,2020-12-16,"
“民法典实施对融资租赁业务的影响”讲座通知
日期：2020-12-16    阅读：1,567次
 《中华人民共和国民法典》将于2021年1月1日起实施，为帮助广大律师提高服务能力和专业水平，加深民法典对融资租赁行业业务的影响，上海律协融资租赁业务研究委员会在线上举办“民法典实施对融资租赁业务的影响”讲座。具体安排如下： 
 一、时间：2020年12月20日（周日）上午9:00-11:00 
 二、方式：腾讯会议线上会议 
 三、报名人数：130人（上海律协个人会员、特邀会员及预备会员） 
 四、内容及主讲人介绍 
 主讲人：曹岩 上海律协融资租赁业务研究委员会 委员 
 主题大纲 
 1、民法典、合同编及融资租赁合同条款的修订要点对照分析 
 2、租赁物的范围与适格租赁物的界定对融资租赁行业开展业务的影响 
 3、虚构租赁物与融资租赁法律关系认定和合同效力问题 
 4、租赁物登记对融资租赁合同效力影响 
 5、将租赁物所有权所有权认定为担保权益的合理性问题（融租合同为非典型性担保合同的问题） 
 6、承租人破产时，租赁物或将归属为破产财产问题 
 7、民法典解除权对融租租赁合同及实践的影响 
 8、民法典格式条款规则变化下对融租租赁合同影响 
 五、报名方式： 
 扫描下方二维码成功入群即为报名成功。 
 讲座正式开始前，微信群会发布参加讲座的腾讯会议小程序会议号，按照腾讯会议小程序的操作流程即可参与讲座。 
    
 联系人： 
 施谛夫 上海律协融资租赁业务研究委员会秘书，微信号： steve198952 
 刘璟 上海律协融资租赁业务研究委员会干事，微信号：liujing9499 
  


分享到：
QQ空间
新浪微博
微信




"
13,14,东方律师,“高速公路投融资模式研究”讲座通知,2020-12-16,"
“高速公路投融资模式研究”讲座通知
日期：2020-12-16    阅读：779次
 充足的资金是高速公路建设发展不可获取的重要支撑。绝大部分发达国家为了确保公路建设资金的充足，防止出现资金短缺问题，采取立法和行政手段，根据自身实际情况制定科学完善的融资、分配和使用机制，以确保本国公路交通事业健康发展。 
 非政府投入资金和政府财政拨款共同构成了发达国家公路建设资金，其中前者主要是指社会融资投入；而后者是由两部分构成，即地方政府的财政拨款以及中央政府财政拨款。 
 为此，上海律协政府与社会资本合作业务研究委员会举办“高速公路投融资模式研究”讲座，从我国高速公路简介、高速公路投融资模式、高速公路PPP项目实操案例与关注点切入，并通过互动交流回应各位关心的重点难点问题。具体安排如下： 
 一、时间：2020年12月18日（周五）下午14：00-16：30 
 二、方式：腾讯会议线上会议 
 三、报名人数：300人（本市个人会员、特邀会员及预备会员 ） 
 四、内容及主讲人介绍： 
 （一）主题及课程大纲：高速公路投融资模式研究 
 1、我国高速公路简介； 
 2、高速公路投融资模式； 
 3、高速公路PPP项目实操案例； 
 4、高速公路PPP项目的关注点。 
 （二）主讲人：李飞, 明树数据常务副总经理，财政部及国家发改委PPP专家库专家，作为专家参与评审财政部第三批PPP示范项目、国家发改委第二批PPP典型案例和存量PPP典型案例。 
 五、报名方式： 
 扫描下方二维码成功入群即为报名成功。 
 讲座正式开始前，微信群会发布参加讲座的腾讯会议小程序会议号，按照腾讯会议小程序的操作流程即可参与讲座。 
 联系人：张凯迪，上海律协政府与社会资本合作业务研究委员会秘书 微信号：19821213141 
 报名群一 
   
 报名群二  
   
  


分享到：
QQ空间
新浪微博
微信




"
14,15,东方律师,并购重组与民法典系列活动之“私募股权争议解决研讨”通知,2020-12-14,"
并购重组与民法典系列活动之“私募股权争议解决研讨”通知
日期：2020-12-14    阅读：1,315次
 民法典正式实施在即，为帮助律师进一步提升并购重组业务的理论和实务水平，上海律协并购重组业务研究委员会发起“并购重组与民法典”系列活动。  
 本期围绕“股权投资争议解决中对赌与回购相关实务问题”“公司并购后公司盈余分配举证责任”“股权收购法律实务初探”三大主题展开深入交流，探讨私募股权争议解决问题。具体安排如下： 
 一、活动时间：2020年12月15日（周二）下午14:00-17:00 
 二、活动方式： 
 1.线下研讨会：静安区民立路288号京师律师广场5楼大会议室（限50人）； 
 2.线上研讨会：律法研究院小程序直播 
 三、报名对象：本市个人会员、特邀会员及预备会员  
 四、 研讨会内容： 
 1. 开场致辞 
  储小青 上海市律师协会并购重组业务研究委员会副主任 
 2. 主题分享 
 议题一：股权投资争议解决中对赌与回购相关实务问题 
 分享人：储小青  上海市律师协会并购重组业务研究委员会副主任、北京金诚同达（上海）律师事务所合伙人 
 议题二：公司并购后公司盈余分配举证责任 
 分享人：潘定春  上海市律师协会并购重组业务研究委员会委员、上海融力天闻律师事务所合伙人 
 议题三：股权收购法律实务初探 
 分享人：牛方兴  上海市律师协会并购重组业务研究委员会委员、上海沪师律师事务所合伙人 
 五、 报名方式 
 （1）线上报名 
 点击下方链接进入直播间。https://study.jingshonline.com/detail/l_5fd2c730e4b0231ba88c0309/4?fromH5=true 
 （2）线下报名（限50人） 
 报名线下参与培训的会员，请点击下方“会员报名通道”进入报名，报满即止。 
 联络人：刘雯晴 上海律协并购重组业务研究委员会秘书 13816814799 
 报名成功人员，出席活动须出示健康码，未报名人员谢绝参加现场活动。 
   
  


分享到：
QQ空间
新浪微博
微信






			
			本次活动报名《并购重组与民法典系列活动之“私募股权争议解决研讨”报名》对“ 上海律协个人会员,全部实习人员,特邀会员 ”开放。
活动状态：
				活动结束    
					 
					
					
					
					

					活动报名时间：2020-12-14 16:00:00 至 2020-12-15 13:00:00（报满即止）



会员报名通道报名通道支持：律师会员、特邀会员、实习人员进行会议、活动的报名，本次报名具体开放范围以上方红色字体为准

活动已结束





"
15,16,东方律师,绿色发展·长三角一体化环境法律论坛通知,2020-12-11,"
绿色发展·长三角一体化环境法律论坛通知
日期：2020-12-11    阅读：1,208次
 2020年是全面建成小康社会和“十三五”规划的收官之年，是防范化解重大风险、精准脱贫、污染防治三大攻坚战的“决胜之年”。尽管面临新冠疫情的阴影，但2020年我国并未放松“污染防治”这一攻坚任务，在环境保护领域的立法活动较为频繁，执法手段不断创新。 
 为帮助本市律师了解和掌握最新的生态环境保护政策法规动态，上海市环境保护产业协会、上海律协环境资源与能源业务研究委员会、上海市金茂律师事务所联合举办绿色发展·长三角一体化环境法律论坛。 
 一、 论坛时间：2020年12月17日（周四）下午13：30-17：00 
 二、 论坛形式：小鹅通在线直播 
 三、 参与对象：上海律协个人会员、特邀会员及预备会员 
 四、 论坛议题： 
 1. 《长江保护法》的重要内容及影响分析 
 2. 上海环评改革探索与展望 
 3. 新固废法与国家危险废物名录（2021年版） 
 4. “长三角一体化自由裁量基准”政策解读 
 5. 长三角地区环境标准一体化的进展与挑战 
 6. 民法典绿色条款的适用及影响 
 7. 行政处罚法、行政复议法修订影响 
 8. 关停并转中的企业权利保障 
 9. 企业环境信息披露 
 10. 生物安全法的重要制度及影响 
 五、 参与方式： 
 请扫描下方二维码观看在线直播 
  
 联系人：上海律协环境资源与能源业务研究委员会秘书 燕笑 手机号码（微信号）：152 1430 6142  
   
   
  


分享到：
QQ空间
新浪微博
微信




"
16,17,东方律师,“扩大开放视角下的《区域全面经济伙伴关系协定》（RCEP）述评”讲座通...,2020-12-11,"
“扩大开放视角下的《区域全面经济伙伴关系协定》（RCEP）述评”讲座通知
日期：2020-12-11    阅读：1,435次
 11月15日，东盟十国以及中国、日本、韩国、澳大利亚、新西兰15个国家，正式签署区域全面经济伙伴关系协定（RCEP），标志着全球规模最大的自由贸易协定正式达成。 RCEP内容丰富，包含大量规则，涵盖了贸易投资自由化和便利化的方方面面，意味着我国高水平高质量的开放和发展，预计今后对其各个板块的学习研究成为目前及未来较长时期的热点。 
 对此，上海律协自贸区业务研究委员会举办“扩大开放视角下的《区域全面经济伙伴关系协定》（RCEP）述评”专题讲座，由复旦大学法学院教授、上海市法学会国际法研究会会长龚柏华担任主讲人。具体安排如下： 
 一、时间：12月17日（周四）下午16:00-17:30 
 二、方式：腾讯会议线上会议 
 三、报名人数：300人（上海律协个人会员、特邀会员及预备会员） 
 四、内容及主讲人介绍： 
 主题：扩大开放视角下的《区域全面经济伙伴关系协定》（RCEP）述评 
 主讲人： 
 龚柏华，现为复旦大学法学院国际法教授、博士生导师。主要研究领域：自贸区法治、世界贸易组织法、国际投资法、国际金融法。龚教授还担任复旦大学自贸区法治研究中心主任；复旦大学“一带一路”研究院国际法律研究所所长;上海法学会国际法学会会长；浦东新区区委、区政府、上海自贸试验区管委会法律顾问；上海市检察院智库专家。四川、重庆、广西等自贸试验区兼职专家顾问；江苏省高院外国法查明专家。  
 讲座内容： 
 第一部分 中国自贸区战略背景下的RCEP 
 第二部分 RCEP内容、框架概述 
 第三部分 RCEP投资章及争端解决机制分析 
 第四部分 RCEP对上海自贸试验区先试先行的意义 
 五、报名方式： 
 扫描下方二维码成功入群即为报名成功。 
 讲座正式开始前，微信群会发布参加讲座的腾讯会议小程序会议号，按照腾讯会议小程序的操作流程即可参与讲座。 
    
 联系人：黄薪豫，上海律协自贸区业务委员会秘书。联系电话：13917895061。 
 赵永云，上海律协自贸区业务研究委员会干事。联系电话：13818593265。 
 杨振华，上海律协自贸区业务研究委员会干事。联系电话：13774473435。 
 许文俊，上海律协自贸区业务研究委员会干事。联系电话：18818265110。 
   
   
  


分享到：
QQ空间
新浪微博
微信




"
17,18,东方律师,“科创板拟上市公司股权激励政策解读与方案设计” 讲座通知,2020-12-09,"
“科创板拟上市公司股权激励政策解读与方案设计” 讲座通知
日期：2020-12-09    阅读：2,146次
 在科创板上市的企业，科创属性是一个重要的衡量标准，而科创属性则主要来源于人的智慧，因此科创企业大多依赖核心技术人员的人力资本，企业的核心竞争力也就是人力资本，通过股权激励，调动技术人员等工作积极性，是激发企业内生发展动力、加快企业发展的重要路径。  
 由于科创板在规则层面的制度创新，相比A股其他板块，科创板放宽了股权激励的相关规则限制、公司能够设计更灵活、更切合实际发展需求的激励方案。 
 随着一系列法规政策的支持及A股注册制的全面推进，未来，科创板作为A股政策试验排头兵，其包括股权激励相关的经验与实践将为国内资本市场改革走向纵深指引前进方向。 
 对此，上海律协科创板业务研究委员会举办“科创板拟上市公司股权激励政策解读与方案设计”专题讲座。具体安排如下： 
 一、时间：2020年12月17日（星期四）20:00 
 二、方式：腾讯会议线上会议 
 三、报名人数：300人（上海律协个人会员、特邀会员及预备会员） 
 四、内容及主讲人介绍： 
 主题：科创板拟上市公司股权激励政策解读与方案设计 
 主讲人：鲍方舟律师，上海律协科创板业务研究委员会副主任、上海市锦天城律师事务所合伙人。在资本市场领域，鲍律师作为主办律师参与了众多公司股份制改制并在境内外首次公开发行股票项目，襄助中芯国际顺利回归科创板上市。 
 涂翀鹏律师，上海律协科创板业务研究委员会干事、上海市锦天城律师事务所律师。 
 授课大纲： 
 一、 政策解读 
 1. 概述 
 2. 狭义的限制性股票 
 3. 第二类限制性股票——期权 
 二、 方案设计 
 1. 限制性股票——遵循A股的一贯逻辑 
 2. 期权——科创板的创新 
 三、 案例解析 
 1. 沪硅产业及乐鑫科技（首家带期权上市的科创板企业及首家上市后实施期权激励计划的企业） 
 2. 中芯国际及九号智能（红筹企业股权激励的方案更加灵活） 
 五、报名方式： 
 扫描下方二维码成功入群即为报名成功。 
 讲座正式开始前，微信群会发布参加讲座的腾讯会议小程序会议号，按照腾讯会议小程序的操作流程即可参与讲座。 
    
 联系人：吴娅坤，上海律协科创板业务研究委员会秘书。联系电话：17521025112。 
  


分享到：
QQ空间
新浪微博
微信




"
18,19,东方律师,融资租赁法律基础讲座通知,2020-12-08,"
融资租赁法律基础讲座通知
日期：2020-12-08    阅读：1,678次
 近年来，我国融资租赁行业高速稳步发展，在服务实体经济、促进经济转型升级方面发挥了重要作用。目前，上海融资租赁企业数量逾2000家，处于全国领先地位。 
 为帮助广大律师提高服务能力和专业水平，加深律师对融资租赁行业的理解，上海律协融资租赁业务研究委员会在线上举办“融资租赁法律基础”讲座。具体安排如下： 
 一、直播时间：2020年12月10日周四上午10:00 
 二、报名人数：100人（上海律协个人会员、特邀会员及预备会员） 
 三、议程安排： 
 （一）主题讲座（10:00-11:30） 
 主讲人：陈龙飞，上海汉盛律师事务所合伙人、上海市律师协会融资租赁业务研究委员会委员、中国法学会上海民法学研究会专委、浙江大学融资租赁研究中心特约研究员、全球租赁业竞争力论坛特约研究员。 
 讲座内容： 
 1、融资租赁概念 
 2、融资租赁行业发展 
 3、司法及监管情况 
 4、融资租赁案例解析 
 四、报名方式： 
 扫描下方二维码成功入群即为报名成功。 
 讲座正式开始前，微信群会发布参加讲座的腾讯会议小程序会议号，按照腾讯会议小程序的操作流程即可参与讲座。 
 联系人： 
 施谛夫 上海律协融资租赁业务研究委员会秘书，微信号： steve198952 
 刘璟 上海律协融资租赁业务研究委员会干事，微信号：liujing9499 
   
   
  


分享到：
QQ空间
新浪微博
微信




"
19,20,东方律师,PPP模式及融资实务讲座通知,2020-12-07,"
PPP模式及融资实务讲座通知
日期：2020-12-07    阅读：1,818次
 项目融资，即通过项目的未来收益即现金流量、项目资产与合同权益进行融资，金融机构对借款人项目资产以外的资产没有追索权或仅有有限追索权。浦发银行在国内金融机构中较早介入PPP金融服务，在充分研究本轮PPP模式顶层设计框架、政策和风险特征的基础上，对PPP项目融资进行了积极探索，并完成了试点项目落地。  
 为此，上海律协政府与社会资本合作业务研究委员会举办“PPP模式及融资实务”讲座，从融资角度分析PPP模式要点、PPP合规性要点与PPP融资审核要点，并通过互动交流回应各位关心的重点难点问题。具体安排如下： 
 一、时间：2020年12月11日（周五）下午14：00-16：30 
 二、方式：腾讯会议线上会议 
 三、报名人数：300人（上海律协个人会员、特邀会员及预备会员） 
 四、内容及主讲人介绍： 
 （一）主题及课程大纲：PPP模式及融资实务 
 一、PPP模式内涵和要点； 
 二、PPP合规性要点； 
 三、PPP融资方式和案例； 
 四、PPP融资审核要点。 
 （二）主讲人：郑大卫, 上海浦东发展银行总行PPP中心副主任、财政部PPP专家、发改委PPP专家和亚洲开发银行PPP注册融资咨询专家、上海交通大学PPP研究中心学术委员会副主任、兼职研究员。 
 参与财政部第二、第四批示范项目评审（中国银行业唯一）；牵头和参与基础设施融资、PPP融资项目近200个，项目总投资金额近5000亿元人民币；参与财政部PPP中心《PPP模式融资问题研究》《城镇化综合开发案例》等手册的编写。近年发表《PPP融资增信创新案例》《 PPP项目融资成功案例》《PPP融资挑战和出路》《本轮PPP和传统BT的十大差异》《多方联手推动，PPP资产证券化迎来春天》《从金融视角辨析政府平台/政府购买服务/PPP模式投融资风险》《PPP的清水活源》《一位金融人士对PPP绩效考核热点问题的思考》等十多篇专业文章。 
 五、报名方式： 
 扫描下方二维码成功入群即为报名成功。 
 讲座正式开始前，微信群会发布参加讲座的腾讯会议小程序会议号，按照腾讯会议小程序的操作流程即可参与讲座。 
 联系人：张凯迪，上海律协政府与社会资本合作业务研究委员会秘书 微信号：19821213141 
 报名群一  
   
 报名群二 
   
   
  


分享到：
QQ空间
新浪微博
微信




"
